Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
BOAZ DIALYSIS,012594,,,,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,8,10,0%,40,0%,32,Achievement,10,100%,40,90%,29,Achievement,9,72%,450,56%,343,Achievement,9,6%,428,14%,228,Achievement,9%,10,10,10,97%,No reduction,06/30/1999,GAMBRO HEALTHCARE,01/02/1980
RCG FORT PAYNE,012595,,,,2202 JORDAN ROAD SOUTHWEST,SUITE 100,FORT PAYNE,AL,35968,8,10,0%,31,6%,33,Achievement,10,100%,34,100%,31,Achievement,9,71%,382,77%,369,Achievement,8,9%,352,8%,260,Achievement,9%,10,10,10,97%,No reduction,05/01/1999,RENAL CARE GROUP INC.,01/15/2010
FMC MONTGOMERY BAPTIST,012596,,,,1400 NARROW LANE PARKWAY,,MONTGOMERY,AL,36111,8,9,1%,81,2%,84,Achievement,5,97%,79,95%,83,Achievement,0,38%,869,40%,914,Achievement,1,23%,814,21%,657,Achievement,1%,10,10,10,55%,No reduction,08/11/1999,FRESENIUS MEDICAL CARE,01/02/1980
FMC BAY MINETTE,012597,,,,2505 HAND AVENUE,,BAY MINETTE,AL,36507,8,10,0%,24,0%,27,Achievement,10,100%,23,100%,29,Achievement,9,73%,284,60%,318,Achievement,10,3%,265,11%,219,Achievement,10%,10,10,10,100%,No reduction,10/27/1999,FRESENIUS MEDICAL CARE,07/11/2000
DCI PHENIX CITY,012598,,,,1611 21ST COURT,,PHENIX CITY,AL,36867,8,10,0%,38,0%,42,Achievement,7,98%,46,100%,45,Achievement,5,61%,489,55%,505,Achievement,10,4%,464,5%,357,Achievement,8%,10,10,10,85%,No reduction,02/09/2000,"DIALYSIS CLINIC, INC.",10/24/2009
FMC PORT CITY,012599,,,,"201 STREET JOSEPH STREET, SUITE B",,MOBILE,AL,36602,8,10,0%,59,2%,57,Achievement,10,100%,61,100%,57,Achievement,6,62%,691,61%,617,Achievement,10,5%,666,8%,435,Achievement,8%,10,10,10,94%,No reduction,02/07/2001,FRESENIUS MEDICAL CARE,09/02/2005
ATMORE DIALYSIS CENTER,012600,,,,807 EAST CRAIG STREET,,ATMORE,AL,36502,8,10,0%,33,8%,36,Achievement,5,97%,37,94%,33,Achievement,7,67%,413,77%,400,Achievement,10,3%,401,5%,276,Achievement,9%,10,10,0,79%,No reduction,03/14/2001,DAVITA,03/15/2001
FMC WEST,012601,,,,633 LOMB AVENUE,,BIRMINGHAM,AL,35211,8,10,0%,54,6%,50,Achievement,7,98%,54,100%,48,Achievement,3,53%,595,48%,549,Achievement,8,8%,548,9%,386,Achievement,6%,10,10,10,79%,No reduction,03/27/2001,RENAL CARE GROUP INC.,09/17/2004
RUSSELLVILLE DIALYSIS,012602,,,,14897 HIGHWAY 43,,RUSSELLVILLE,AL,35653,8,10,0%,24,0%,24,Achievement,10,100%,29,78%,23,Achievement,5,60%,280,70%,268,Achievement,10,2%,244,5%,174,Achievement,8%,10,10,0,91%,No reduction,06/20/2001,GAMBRO HEALTHCARE,06/21/2001
FMC FAIRFIELD (STEEL CITY),012603,,,,6508 EAST J OLIVER BOULEVARD,,FAIRFIELD,AL,35064,8,10,0%,28,3%,30,Achievement,10,100%,27,100%,29,Achievement,0,38%,304,52%,302,Achievement,10,3%,268,1%,204,Achievement,5%,10,10,10,85%,No reduction,10/16/2001,RENAL CARE GROUP INC.,08/16/2008
RCG CLANTON,012604,,,,275 HEALTH CENTER DRIVE,,CLANTON,AL,35045,8,10,0%,23,19%,26,Achievement,10,100%,23,100%,22,Achievement,1,49%,289,63%,274,Achievement,8,9%,258,8%,180,Achievement,5%,10,10,10,85%,No reduction,03/27/2002,RENAL CARE GROUP INC.,02/03/2010
BIRMINGHAM HOME TRAINING DIALYSIS,012605,,,,2101 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,8,10,0%,35,4%,57,Achievement,N/A,,0,,0,N/A,N/A,Insufficient data,0,60%,112,N/A,N/A,Insufficient data,0,10%,79,N/A,N/A,N/A,0,10,95%,No reduction,07/25/2002,GAMBRO HEALTHCARE,07/02/2002
FMC CHASE,012606,,,,1849 KEATS DRIVE NORTHWEST,,HUNTSVILLE,AL,35810,8,10,0%,70,14%,63,Achievement,8,99%,73,98%,63,Achievement,2,51%,831,45%,638,Achievement,7,11%,754,5%,438,Achievement,5%,10,10,10,79%,No reduction,09/19/2002,FRESENIUS MEDICAL CARE,09/16/2002
ROANOKE DIALYSIS CLINIC,012607,,,,4459 US HIGHWAY 431,,ROANOKE,AL,36274,8,10,0%,21,0%,29,Achievement,10,100%,29,100%,30,Achievement,10,92%,261,83%,357,Achievement,10,0%,257,6%,261,Achievement,10%,10,10,10,100%,No reduction,01/29/2003,INDEPENDENT,01/02/2003
RCG ONEONTA,012608,,,,"150 GILBREATH DRIVE, SUITE 1",,ONEONTA,AL,35121,8,10,0%,29,4%,27,Achievement,10,100%,30,100%,26,Achievement,7,65%,350,55%,315,Achievement,10,2%,329,6%,222,Achievement,9%,10,10,10,97%,No reduction,03/26/2003,RENAL CARE GROUP INC.,05/13/2011
EUFAULA DIALYSIS,012609,,,,220 SOUTH ORANGE AVENUE,,EUFAULA,AL,36027,8,10,0%,41,3%,34,Achievement,7,98%,44,97%,34,Achievement,6,63%,510,57%,392,Achievement,10,3%,476,0%,282,Achievement,8%,10,10,10,85%,No reduction,04/09/2003,GAMBRO HEALTHCARE,06/11/2011
FMC MAGNOLIA,012610,,,,7940 MOFFETT ROAD,,SEMMES,AL,36575,8,8,2%,49,6%,49,Achievement,10,100%,51,100%,51,Achievement,6,63%,567,73%,520,Achievement,8,8%,520,9%,355,Achievement,7%,10,10,10,85%,No reduction,05/14/2003,FRESENIUS MEDICAL CARE,05/02/2003
FMC DALLAS COUNTY,012611,,,,200 SOUTH PARK PLACE,,SELMA,AL,36701,8,8,2%,44,6%,36,Achievement,10,100%,43,97%,35,Achievement,5,60%,535,45%,421,Achievement,8,8%,499,21%,281,Achievement,7%,10,10,10,85%,No reduction,12/19/2003,FRESENIUS MEDICAL CARE,10/24/2009
FMC GARDENDALE,012612,,,,592 FIELDSTOWN ROAD,SUITE 102,GARDENDALE,AL,35071,8,10,0%,31,5%,39,Achievement,1,94%,31,95%,39,Achievement,5,51%,343,26%,391,Improvement,10,5%,334,10%,270,Achievement,8%,10,10,10,67%,No reduction,12/17/2003,FRESENIUS MEDICAL CARE,03/23/2011
FMC DISCOVERY,012613,,,,"1131 EAGLETREE LANE, STE100",,HUNTSVILLE,AL,35801,8,8,2%,58,6%,71,Achievement,10,100%,46,100%,45,Achievement,3,54%,555,55%,556,Achievement,10,5%,515,7%,396,Achievement,7%,10,10,10,85%,No reduction,03/17/2004,FRESENIUS MEDICAL CARE,10/23/2003
FMC VALLEY CREEK,012614,,,,201 LINCOLN LANE,,SELMA,AL,36701,8,8,2%,56,7%,54,Achievement,10,100%,48,98%,52,Achievement,2,50%,541,55%,554,Achievement,8,9%,521,12%,398,Achievement,5%,10,10,10,79%,No reduction,04/07/2004,FRESENIUS MEDICAL CARE,06/12/2009
FMC AUBURN,012615,,,,211 EAST UNIVERSITY DRIVE,,AUBURN,AL,36832,8,10,0%,42,0%,24,Achievement,7,98%,47,96%,24,Achievement,10,88%,539,88%,289,Achievement,10,2%,518,2%,204,Achievement,10%,10,10,10,91%,No reduction,06/23/2004,FRESENIUS MEDICAL CARE,05/11/2004
LANDMARK DIALYSIS,012616,,,,717 STONE AVENUE,,TALLADEGA,AL,35160,8,10,0%,67,7%,68,Achievement,10,100%,71,100%,71,Achievement,1,44%,832,39%,699,Improvement,10,5%,786,11%,460,Achievement,6%,10,10,10,88%,No reduction,06/09/2004,INDEPENDENT,11/16/2011
FMC ALEXANDER CITY,012617,,,,3368 HIGHWAY 280 BYPASS,SUITE G-1,ALEXANDER CITY,AL,35010,8,5,5%,44,2%,45,Achievement,10,100%,39,100%,43,Achievement,10,75%,431,73%,487,Achievement,10,4%,423,7%,354,Achievement,10%,10,10,10,85%,No reduction,11/10/2004,FRESENIUS MEDICAL CARE,01/26/2012
RRC NORTHRIDGE,012618,,,,4400 WATERMELON ROAD,Suite A,NORTHPORT,AL,35473,8,10,0%,47,5%,39,Achievement,5,97%,35,93%,27,Achievement,1,48%,506,47%,308,Achievement,10,4%,450,15%,208,Achievement,6%,10,10,10,73%,No reduction,10/25/2006,INDEPENDENT,03/09/2012
TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS,012619,,,,1649 NORTH MCFARLAND BOULEVARD,SUITE 203,TUSCALOOSA,AL,35406,8,10,0%,23,0%,24,Achievement,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,10,100%,No reduction,12/19/2006,INDEPENDENT,01/26/2007
HOME DIALYSIS OF NORTH ALABAMA,012620,,,,"1216 SOMMERVILLE ROAD, SOUTHEAST",,DECATUR,AL,35601,8,10,0%,18,13%,16,Achievement,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,10,100%,No reduction,02/15/2007,INDEPENDENT,02/14/2007
RAI-SNOW ST-OXFORD,012621,,,,711 SNOW STREET,,OXFORD,AL,36203,8,10,0%,69,2%,82,Achievement,5,97%,61,95%,64,Achievement,3,46%,726,33%,771,Improvement,6,13%,698,24%,543,Achievement,5%,10,10,10,70%,No reduction,07/11/2007,INDEPENDENT,09/25/2010
DAVITA TALLADEGA,012622,,,,726 EAST BATTLE STREET,SUITE A,TALLADEGA,AL,35160,8,10,0%,32,0%,25,Achievement,4,96%,25,96%,23,Achievement,5,59%,324,62%,256,Achievement,7,11%,298,4%,174,Achievement,6%,10,10,0,67%,No reduction,12/19/2007,DAVITA,08/10/2011
DAVITA CENTER POINT DIALYSIS,012623,,,,2337 1ST STREET NORTHEAST,,CENTER POINT,AL,35215,8,10,0%,31,0%,33,Achievement,10,100%,38,97%,36,Achievement,10,74%,400,61%,407,Achievement,9,6%,360,5%,277,Achievement,10%,10,10,10,100%,No reduction,02/20/2008,DAVITA,02/16/2008
FMC MIDFIELD DIALYSIS,012624,,,,613 BESSEMER SUPER HIGHWAY,,BIRMINGHAM,AL,35228,8,10,0%,42,11%,37,Achievement,10,100%,46,100%,35,Achievement,0,25%,517,36%,386,Achievement,8,8%,488,10%,272,Achievement,4%,10,10,10,82%,No reduction,01/29/2008,RENAL CARE GROUP INC.,01/27/2008
RAI JACKSONVILLE,012625,,,,"331 HENRY ROAD, SOUTHWEST",,JACKSONVILLE,AL,36265,8,10,0%,33,0%,35,Achievement,10,100%,37,100%,35,Achievement,1,48%,463,47%,369,Achievement,10,5%,434,13%,255,Achievement,6%,10,10,10,88%,No reduction,08/19/2008,RENAL ADVANTAGE,08/21/2010
FMC NORTHWEST ALABAMA KIDNEY CENTER,012626,,,,638 TAHOE ROAD,,WINFIELD,AL,35594,8,10,0%,14,0%,13,Achievement,10,100%,12,100%,12,Achievement,8,69%,156,60%,133,Achievement,10,3%,132,0%,91,Achievement,9%,10,10,10,97%,No reduction,06/25/2008,FRESENIUS MEDICAL CARE,05/02/2008
HOME DIALYSIS OPTIONS OF BALDWIN COUNTY,012627,,,,"27880 NORTH MAIN STREET, SUITE A",,DAPHNE,AL,36526,8,N/A,,8,,2,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,65,Insufficient data,28,N/A,N/A,Insufficient data,58,Insufficient data,19,N/A,N/A,N/A,N/A,10,100%,No reduction,10/21/2008,DAVITA,08/02/2008
OPELIKA DIALYSIS CENTER,012628,,,,2340 PEPPERELL PARKWAY,,OPELIKA,AL,36801,8,N/A,,10,,10,N/A,10,100%,12,,10,Achievement,10,75%,110,Insufficient data,78,Achievement,10,1%,92,Insufficient data,44,Achievement,10%,10,10,10,100%,No reduction,10/29/2008,DAVITA,11/02/2008
DAVITA RENAISSANCE,012629,,,,1840 DARBY DRIVE,,FLORENCE,AL,35630,8,10,0%,16,6%,17,Achievement,10,100%,14,100%,17,Achievement,9,72%,184,71%,203,Achievement,10,2%,165,0%,147,Achievement,10%,10,10,0,97%,No reduction,10/15/2008,DAVITA,11/26/2008
DAVITA WIREGRASS KIDNEY CENTER,012630,,,,1450 ROSS CLARK CIRCLE,SUITE 200,DOTHAN,AL,36301,8,10,0%,57,5%,58,Achievement,10,100%,62,98%,59,Achievement,10,75%,687,61%,686,Achievement,10,1%,637,1%,492,Achievement,10%,10,10,10,100%,No reduction,12/23/2008,DAVITA,12/24/2008
GULF SHORES DIALYSIS CENTER,012631,,,,3947 GULF SHORES PARKWAY,,GULF SHORES,AL,36542,8,10,0%,19,8%,24,Achievement,10,100%,16,100%,22,Achievement,10,76%,161,89%,253,Achievement,10,4%,143,1%,164,Achievement,10%,10,10,0,97%,No reduction,04/22/2009,DAVITA,04/02/2009
MUSCLE SHOALS DIALYSIS,012632,,,,712 STATE STREET,,MUSCLE SHOALS,AL,35661,8,N/A,,5,,7,N/A,N/A,,8,,7,N/A,N/A,Insufficient data,82,Insufficient data,77,N/A,N/A,Insufficient data,73,Insufficient data,56,N/A,N/A,10,10,10,100%,No reduction,09/16/2009,DAVITA,09/16/2009
FMC PRATTVILLE,012633,,,,692 COVERED BRIDGE PARKWAY,,PRATTVILLE,AL,36066,8,10,0%,24,0%,18,Achievement,10,100%,25,100%,17,Achievement,2,51%,274,51%,206,Achievement,4,16%,239,14%,146,Achievement,3%,10,10,10,79%,No reduction,09/15/2009,FRESENIUS MEDICAL CARE,09/16/2009
FMC FOLEY,012634,,,,230 EAST FERN AVENUE,,FOLEY,AL,36535,8,10,0%,16,,8,Achievement,10,100%,19,,8,Achievement,7,67%,190,Insufficient data,72,Achievement,6,12%,157,Insufficient data,48,Achievement,7%,10,10,10,91%,No reduction,09/14/2009,FRESENIUS MEDICAL CARE,10/23/2009
FMC JAGUAR,012636,,,,575 STANTON ROAD,UNIT B,MOBILE,AL,36617,8,10,0%,81,2%,81,Achievement,7,98%,85,98%,84,Achievement,0,39%,973,36%,905,Achievement,10,4%,916,6%,651,Achievement,5%,10,10,10,76%,No reduction,04/07/2010,FRESENIUS MEDICAL CARE,09/24/2010
DCI HIGHLAND PARK,012637,,,,1912 CHERRY STREET,,MONTGOMERY,AL,36107,8,10,0%,37,6%,31,Achievement,10,100%,36,96%,25,Achievement,1,44%,432,38%,290,Improvement,4,16%,399,13%,194,Achievement,3%,10,10,10,79%,No reduction,07/16/2010,"DIALYSIS CLINIC, INC.",07/24/2010
FMC HOOVER,012638,,,,2104 LORNA RIDGE LANE,,HOOVER,AL,35216,8,10,0%,20,7%,15,Achievement,10,100%,22,100%,15,Achievement,0,32%,233,61%,117,Achievement,2,21%,199,15%,66,Achievement,1%,10,10,10,73%,No reduction,08/03/2010,FRESENIUS MEDICAL CARE,08/04/2010
FMC MONTEVALLO,012639,,,,3883 HIGHWAY 25,,MONTEVALLO,AL,35115,8,10,0%,11,,4,Achievement,N/A,,8,,4,N/A,0,36%,151,Insufficient data,32,Achievement,0,27%,120,Insufficient data,17,Achievement,0%,10,10,10,55%,No reduction,08/30/2010,FRESENIUS MEDICAL CARE,01/01/2011
PICKENS COUNTY DIALYSIS,012640,,,,289 WILLIAM EAST HILL DRIVE,SUITE A,CARROLLTON,AL,35447,8,10,0%,25,0%,20,Achievement,10,100%,28,90%,21,Achievement,3,54%,352,60%,126,Achievement,8,8%,322,5%,57,Achievement,6%,10,N/A,0,83%,No reduction,01/05/2011,DAVITA,01/26/2011
DCI EVERGREEN,012641,,,,822 WILD AVENUE,,EVERGREEN,AL,36401,8,10,0%,18,0%,14,Achievement,1,94%,17,94%,16,Achievement,2,36%,222,21%,92,Improvement,8,8%,208,11%,35,Achievement,5%,10,10,10,58%,No reduction,01/27/2011,"DIALYSIS CLINIC, INC.",02/04/2011
DAVITA ENTERPRISE,012642,,,,6002 BOLL WEEVIL CIRCLE,,ENTERPRISE,AL,36330,8,10,0%,27,,5,Achievement,10,100%,25,,7,Achievement,5,59%,290,Insufficient data,40,Achievement,10,2%,243,Insufficient data,10,Achievement,8%,10,10,10,94%,No reduction,03/02/2011,DAVITA,03/08/2011
ENDEAVOR DIALYSIS,012643,,,,1675 SPARKMAN DRIVE,,HUNTSVILLE,AL,35816,8,10,0%,27,,0,Achievement,5,97%,33,,0,Achievement,10,79%,370,Insufficient data,0,Achievement,10,1%,330,Insufficient data,0,Achievement,10%,10,10,10,85%,No reduction,07/05/2011,FRESENIUS MEDICAL CARE,08/02/2011
JEWEL DIALYSIS,012644,,,,514 WEST TOWN PLAZA,,BESSEMER,AL,35020,8,10,0%,21,,0,Achievement,10,100%,24,,0,Achievement,0,27%,269,Insufficient data,0,Achievement,6,12%,222,Insufficient data,0,Achievement,3%,10,10,10,79%,No reduction,10/27/2011,DAVITA,11/24/2011
MAGIC CITY DIALYSIS,012645,,,,300 22ND STREET SOUTH,,BIRMINGHAM,AL,35233,8,10,0%,57,,0,Achievement,7,98%,48,,0,Achievement,3,53%,649,Insufficient data,0,Achievement,9,7%,497,Insufficient data,0,Achievement,6%,10,10,0,76%,No reduction,10/21/2011,DAVITA,11/21/2011
STEEL CITY DIALYSIS,012646,,,,1809 AVENUE H,,BIRMINGHAM,AL,35218,8,10,0%,19,,0,Achievement,10,100%,26,,0,Achievement,2,51%,301,Insufficient data,0,Achievement,7,10%,255,Insufficient data,0,Achievement,5%,10,10,10,85%,No reduction,10/27/2011,DAVITA,12/01/2011
CROWN DIALYSIS,012647,,,,3007 27TH STREET NORTH,,BIRMINGHAM,AL,35207,8,10,0%,19,,0,Achievement,10,100%,20,,0,Achievement,0,36%,210,Insufficient data,0,Achievement,10,5%,141,Insufficient data,0,Achievement,5%,10,10,10,85%,No reduction,11/03/2011,DAVITA,12/16/2011
PCD GADSDEN,012648,,,,800 GOODYEAR AVENUE,,GADSDEN,AL,35903,8,10,0%,31,,0,Achievement,10,100%,23,,0,Achievement,0,41%,395,Insufficient data,0,Achievement,0,27%,261,Insufficient data,0,Achievement,0%,10,10,10,70%,No reduction,11/18/2011,INDEPENDENT,11/18/2011
PCD OF UNION SPRINGS,012649,,,,112 WEST CONECUH AVENUE,,UNION SPRINGS,AL,36089,8,10,0%,25,,0,Achievement,10,100%,24,,0,Achievement,5,61%,281,Insufficient data,0,Achievement,10,5%,201,Insufficient data,0,Achievement,8%,0,5,10,89%,No reduction,12/14/2011,INDEPENDENT,02/23/2012
LIMESTONE COUNTY DIALYSIS,012650,,,,16236 LUCAS FERRY ROAD,,ATHENS,AL,35611,8,10,0%,15,,0,Achievement,10,100%,17,,0,Achievement,10,83%,185,Insufficient data,0,Achievement,10,0%,126,Insufficient data,0,Achievement,10%,10,10,10,100%,No reduction,02/09/2012,DAVITA,04/13/2012
FMC FORESTDALE,012651,,,,1004 FORESTDALE BOULEVARD,,BIRMINGHAM,AL,35214,8,10,0%,13,,0,Achievement,10,100%,13,,0,Achievement,0,29%,100,Insufficient data,0,Achievement,3,18%,61,Insufficient data,0,Achievement,2%,10,10,10,76%,No reduction,03/14/2012,FRESENIUS MEDICAL CARE,03/15/2012
LEEDS DIALYSIS,012652,,,,1650 MAXEY DRIVE,,LEEDS,AL,35094,8,10,0%,12,,0,Achievement,10,100%,12,,0,Achievement,3,55%,104,Insufficient data,0,Achievement,10,5%,40,Insufficient data,0,Achievement,7%,10,10,10,91%,No reduction,02/29/2012,DAVITA,03/15/2012
PHYSICIAN'S CHOICE OF LEE COUNTY,012653,,,,5009 RIVERCHASE DRIVE,SUITE 300,PHENIX CITY,AL,36867,8,10,0%,15,,0,Achievement,10,100%,13,,0,Achievement,1,47%,99,Insufficient data,0,Achievement,8,9%,57,Insufficient data,0,Achievement,5%,10,5,10,83%,No reduction,04/11/2012,INDEPENDENT,02/24/2012
BIO-MEDICAL APPLICATIONS OF ALABAMA,012654,,,,100 MITYLENE PARK LANE,,MONTGOMERY,AL,36117,8,10,0%,14,,0,Achievement,1,94%,17,,0,Achievement,2,51%,116,Insufficient data,0,Achievement,0,29%,56,Insufficient data,0,Achievement,1%,0,10,10,43%,0.5%,05/25/2012,FRESENIUS MEDICAL CARE,10/12/2011
RENAL TREATMENT CENTERS SOUTHEAST LP,012655,,,,757 SOUTH THREE NOTCH STREET,,ANDALUSIA,AL,36420,8,N/A,,9,,0,N/A,10,100%,11,,0,Achievement,4,58%,80,Insufficient data,0,Achievement,8,8%,36,Insufficient data,0,Achievement,6%,0,10,10,79%,No reduction,06/21/2012,OTHER CHAIN(number of facilities <20 ),07/12/2012
DCI MITYLENE PARK,012656,,,,29 MITYLENE PARK LANE,,MONTGOMERY,AL,36117,8,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,10,N/A,10,100%,No reduction,10/11/2012,"DIALYSIS CLINIC, INC.",10/15/2012
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,012657,,,,35 WEST LAKESHORE DRIVE,SUITE 105,BIRMINGHAM,AL,35209,8,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,,No reduction,10/30/2012,FRESENIUS MEDICAL CARE,08/29/2012
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",012659,,,,9540 PARKWAY EAST,,BIRMINGHAM,AL,35215,8,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,,No reduction,01/10/2013,FRESENIUS MEDICAL CARE,06/15/2012
PHYSICIANS CHOICE DIALYSIS OF ATTALLA,012660,,,,801 GILBERT FERRY ROAD SOUTHEAST,,ATTALLA,AL,35954,8,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,,No reduction,01/09/2013,INDEPENDENT,01/23/2013
CHILDRENS HOSPITAL DIALYSIS,013300,012306,,,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,8,N/A,,0,,1,N/A,N/A,,0,,1,N/A,N/A,Insufficient data,0,Insufficient data,11,N/A,N/A,Insufficient data,0,Insufficient data,8,N/A,N/A,N/A,10,10,100%,No reduction,11/17/1982,INDEPENDENT,03/06/2012
FMC ANCHORAGE,022500,,,,3950 LAUREL STREET,,ANCHORAGE,AK,99508,16,9,1%,146,4%,171,Achievement,8,99%,123,98%,133,Achievement,6,63%,1425,66%,1513,Achievement,4,16%,1357,18%,1081,Achievement,5%,10,10,10,76%,No reduction,09/01/1976,RENAL CARE GROUP INC.,06/01/2011
FMC FAIRBANKS,022502,,,,1863 AIRPORT WAY,,FAIRBANKS,AK,99701,16,10,0%,33,10%,31,Achievement,5,97%,35,100%,33,Achievement,10,74%,398,74%,382,Achievement,8,8%,372,9%,276,Achievement,9%,10,10,10,82%,No reduction,06/27/1985,RENAL CARE GROUP INC.,06/01/2011
FMC WASILLA,022503,,,,3787 EAST MERIDIAN LOOP,,WASILLA,AK,99654,16,10,0%,22,6%,16,Achievement,10,100%,19,100%,13,Achievement,10,75%,187,71%,163,Achievement,3,18%,166,18%,110,Achievement,7%,10,10,10,91%,No reduction,03/29/2004,RENAL CARE GROUP INC.,06/01/2011
REIFENSTEIN DIALYSIS CENTER,022504,,,,9109 MENDENHALL MALL ROAD SUITE #6,,JUNEAU,AK,99801,16,10,0%,17,9%,11,Achievement,10,100%,16,91%,11,Achievement,6,63%,175,63%,129,Achievement,7,10%,161,13%,95,Achievement,7%,10,10,10,91%,No reduction,03/26/2004,RENAL CARE GROUP INC.,06/01/2011
LIBERTY DIALYSIS - ALASKA LLC,022506,,,,901 EAST DIMOND BOULEVARD SUITE G,,ANCHORAGE,AK,99515,16,10,0%,69,0%,45,Achievement,10,100%,38,95%,19,Achievement,7,65%,543,74%,345,Achievement,3,18%,478,8%,233,Achievement,5%,10,5,10,83%,No reduction,05/07/2009,INDEPENDENT,06/01/2011
FMC COOK INLET,022507,,,,9085 BLACKBERRY STREET,,ANCHORAGE,AK,99502,16,10,0%,44,8%,38,Achievement,10,100%,36,100%,30,Achievement,8,69%,394,69%,341,Achievement,3,19%,373,22%,237,Achievement,6%,10,10,10,88%,No reduction,05/07/2009,FRESENIUS MEDICAL CARE,06/01/2011
FMC SOLDOTNA,022508,,,,289 NORTH FIREWOOD LANE SUITE A,,SOLDOTNA,AK,99669,16,10,0%,11,,8,Achievement,10,100%,14,,9,Achievement,8,70%,184,81%,107,Achievement,2,21%,155,1%,72,Achievement,5%,10,10,10,85%,No reduction,12/08/2009,FRESENIUS MEDICAL CARE,06/01/2011
DENALI DIALYSIS CENTER,022509,,,,306 BONIFACE PARKWAY SUITE A11,,ANCHORAGE,AK,99504,16,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,,No reduction,11/29/2012,OTHER CHAIN(number of facilities <20 ),01/11/2013
MARICOPA MEDICAL CTR - DIALYSIS,030022,032302,,,2525 EAST ROOSEVELT STREET,,PHOENIX,AZ,85008,15,10,0%,14,0%,18,Achievement,0,89%,18,95%,19,Achievement,10,84%,177,82%,200,Achievement,10,5%,157,7%,137,Achievement,10%,10,10,10,70%,No reduction,10/07/1997,INDEPENDENT,01/02/1980
UAMC DIALYSIS UNIT,030064,032316,,,PO BOX 245022,,TUCSON,AZ,85724,15,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,10,100%,No reduction,09/20/2012,INDEPENDENT,02/03/2012
GILA RIVER DIALYSIS EAST,031308,032315,,,565 WEST SEED FARM ROAD,,SACATON,AZ,85247,15,10,0%,99,2%,106,Achievement,7,98%,115,98%,110,Achievement,7,65%,1332,56%,1243,Achievement,7,11%,1283,13%,879,Achievement,7%,10,10,10,82%,No reduction,01/04/2006,INDEPENDENT,12/02/2004
TUCSON WEST DIALYSIS (DVA),032500,,,,1780 WEST ANKLAM ROAD,,TUCSON,AZ,85745,15,10,0%,40,6%,53,Achievement,10,100%,33,98%,46,Achievement,3,55%,384,50%,511,Achievement,4,16%,373,26%,364,Achievement,4%,10,10,10,82%,No reduction,09/28/1988,GAMBRO HEALTHCARE,04/09/1998
